chromo,strand,start,end,count,alt3,alt5,alt3+5,skip,constitLevel,inclLevel,3usageLevel,genename
chr1,-,946401,946545,67,5,0,0,0,0.931,1.000,0.931,NOC2L
chr1,+,971076,971208,4,4,0,0,0,0.500,1.000,0.500,PLEKHN1
chr1,-,1090352,1090428,95,5,0,0,0,0.950,1.000,0.950,C1orf159
chr1,-,1091471,1091565,100,4,0,0,0,0.962,1.000,0.962,C1orf159
chr1,-,1312225,1312368,42,4,0,0,0,0.913,1.000,0.913,CPSF3L
chr1,+,2588921,2589040,29,31,0,0,0,0.483,1.000,0.483,FAM213B
chr1,-,5905631,5905780,7,4,0,0,0,0.636,1.000,0.636,NPHP4
chr1,+,6630287,6630353,41,6,0,0,0,0.872,1.000,0.872,THAP3
chr1,+,7793959,7794008,7,5,0,0,0,0.583,1.000,0.583,PER3
chr1,-,9751472,9751681,46,14,0,0,0,0.767,1.000,0.767,CLSTN1
chr1,+,10282399,10282533,11,6,0,0,0,0.647,1.000,0.647,KIF1B
chr1,+,11013715,11013965,767,6,0,0,0,0.992,1.000,0.992,"RP4-635E18.9,TARDBP"
chr1,+,11655805,11656100,136,5,0,0,0,0.965,1.000,0.965,FBXO44
chr1,-,15946153,15946294,50,6,0,0,0,0.893,1.000,0.893,ZBTB17
chr1,-,19238794,19238857,20,5,0,0,0,0.800,1.000,0.800,EMC1
chr1,+,19325494,19325582,24,10,0,0,0,0.706,1.000,0.706,PQLC2
chr1,-,19978379,19978524,110,4,0,0,0,0.965,1.000,0.965,PLA2G2A
chr1,-,20779811,20779911,141,6,0,0,0,0.959,1.000,0.959,HP1BP3
chr1,-,21597960,21598064,18,4,0,0,0,0.818,1.000,0.818,RAP1GAP
chr1,-,23318482,23318688,54,11,0,0,0,0.831,1.000,0.831,HNRNPR
chr1,+,23692608,23692759,13,5,0,0,0,0.722,1.000,0.722,RPL11
chr1,-,23798116,23798230,138,6,0,0,0,0.958,1.000,0.958,GALE
chr1,+,23960928,23961134,747,31,0,0,0,0.960,1.000,0.960,PNRC2
chr1,+,24651408,24651612,59,7,0,0,0,0.894,1.000,0.894,SRRM1
chr1,+,24661309,24661396,29,6,0,0,0,0.829,1.000,0.829,SRRM1
chr1,+,25823643,25823748,316,7,0,0,0,0.978,1.000,0.978,MTFR1L
chr1,+,25829508,25829830,25,8,0,0,0,0.758,1.000,0.758,MTFR1L
chr1,-,26368457,26368582,21,18,0,0,0,0.538,1.000,0.538,ZNF683
chr1,+,26442730,26442873,106,5,0,0,0,0.955,1.000,0.955,DHDDS
chr1,+,26772811,26772987,19,13,0,0,0,0.594,1.000,0.594,ARID1A
chr1,+,26942659,26942776,280,7,0,0,0,0.976,1.000,0.976,NUDC
chr1,+,27297047,27297156,20,4,0,0,0,0.833,1.000,0.833,WDTC1
chr1,+,27349079,27349152,55,6,0,0,0,0.902,1.000,0.902,SYTL1
chr1,+,28987447,28987905,8,6,0,0,0,0.571,1.000,0.571,EPB41
chr1,-,29216587,29216685,127,26,0,0,0,0.830,1.000,0.830,MECR
chr1,-,31728181,31728280,15,4,0,0,0,0.789,1.000,0.789,ADGRB2
chr1,+,32075602,32075822,96,6,0,0,0,0.941,1.000,0.941,TMEM39B
chr1,+,32154587,32154721,176,7,0,0,0,0.962,1.000,0.962,KPNA6
chr1,+,32274324,32274434,317,7,0,0,0,0.978,1.000,0.978,LCK
chr1,+,32827992,32828081,23,4,0,0,0,0.852,1.000,0.852,S100PBP
chr1,-,32895554,32895743,47,6,0,0,0,0.887,1.000,0.887,TMEM54
chr1,-,32948221,32948366,8,7,0,0,0,0.533,1.000,0.533,RNF19B
chr1,+,35559106,35559247,57,4,0,0,0,0.934,1.000,0.934,NCDN
chr1,+,36178418,36178596,39,6,0,0,0,0.867,1.000,0.867,MAP7D1
chr1,+,36179514,36179557,69,9,0,0,0,0.885,1.000,0.885,MAP7D1
chr1,+,37475458,37475939,27,20,0,0,0,0.574,1.000,0.574,ZC3H12A
chr1,-,42759200,42759390,40,4,0,0,0,0.909,1.000,0.909,P3H1
chr1,+,43172734,43172910,22,4,0,0,0,0.846,1.000,0.846,CFAP57
chr1,-,43387502,43387647,97,5,0,0,0,0.951,1.000,0.951,MED8
chr1,+,43993886,43993964,7,9,0,0,0,0.438,1.000,0.438,CCDC24
chr1,+,44213708,44213858,131,33,0,0,0,0.799,1.000,0.799,DMAP1
chr1,+,44218310,44218469,96,4,0,0,0,0.960,1.000,0.960,DMAP1
chr1,+,46034072,46034266,24,4,0,0,0,0.857,1.000,0.857,MAST2
chr1,+,46813908,46814063,17,14,0,0,0,0.548,1.000,0.548,CYP4B1
chr1,-,51309260,51309325,32,6,0,0,0,0.842,1.000,0.842,TTC39A
chr1,-,52357780,52357898,13,4,0,0,0,0.765,1.000,0.765,CC2D1B
chr1,-,52402128,52402228,74,13,0,0,0,0.851,1.000,0.851,ORC1
chr1,-,52436754,52436978,8,11,0,0,0,0.421,1.000,0.421,ZCCHC11
chr1,-,52911722,52911790,44,8,0,0,0,0.846,1.000,0.846,ECHDC2
chr1,-,54040755,54040837,151,51,0,0,0,0.748,1.000,0.748,TMEM59
chr1,+,54674015,54674151,12,6,0,0,0,0.667,1.000,0.667,"MROH7-TTC4,MROH7"
chr1,-,62477699,62477825,10,10,0,0,0,0.500,1.000,0.500,DOCK7
chr1,+,62803718,62803862,94,5,0,0,0,0.949,1.000,0.949,ATG4C
chr1,-,67424199,67424277,132,59,0,0,0,0.691,1.000,0.691,SERBP1
chr1,-,67424887,67424959,134,126,0,0,0,0.515,1.000,0.515,SERBP1
chr1,+,70249951,70250047,79,5,0,0,0,0.940,1.000,0.940,SRSF11
chr1,+,75792180,75792306,46,4,0,0,0,0.920,1.000,0.920,RABGGTB
chr1,-,77581775,77581891,14,8,0,0,0,0.636,1.000,0.636,ZZZ3
chr1,-,77721830,77721901,17,14,0,0,0,0.548,1.000,0.548,USP33
chr1,-,77740876,77740939,135,4,0,0,0,0.971,1.000,0.971,USP33
chr1,+,77873000,77873120,8,7,0,0,0,0.533,1.000,0.533,FAM73A
chr1,-,77967048,77967098,88,56,0,0,0,0.611,1.000,0.611,FUBP1
chr1,-,89121776,89121983,304,4,0,0,0,0.987,1.000,0.987,GBP2
chr1,+,91501653,91501831,55,6,0,0,0,0.902,1.000,0.902,CDC7
chr1,-,91719892,91720230,8,6,0,0,0,0.571,1.000,0.571,TGFBR3
chr1,-,92290197,92290306,26,4,0,0,0,0.867,1.000,0.867,GLMN
chr1,+,92833544,92833660,2073,5,0,0,0,0.998,1.000,0.998,RPL5
chr1,+,92840550,92840639,488,7,0,0,0,0.986,1.000,0.986,RPL5
chr1,+,94867330,94867417,12,6,0,0,0,0.667,1.000,0.667,SLC44A3
chr1,+,96804799,96804939,19,8,0,0,0,0.704,1.000,0.704,PTBP2
chr1,+,100140407,100140514,26,7,0,0,0,0.788,1.000,0.788,TRMT13
chr1,+,100140851,100141019,10,4,0,0,0,0.714,1.000,0.714,TRMT13
chr1,+,100268151,100268295,125,14,0,0,0,0.899,1.000,0.899,RTCA
chr1,-,108982608,108982779,20,5,0,0,0,0.800,1.000,0.800,WDR47
chr1,-,109004591,109004715,24,7,0,0,0,0.774,1.000,0.774,WDR47
chr1,-,109345750,109345881,12,7,0,0,0,0.632,1.000,0.632,SORT1
chr1,-,109751994,109752193,8,8,0,0,0,0.500,1.000,0.500,EPS8L3
chr1,-,109758523,109758666,9,7,0,0,0,0.562,1.000,0.562,EPS8L3
chr1,+,110037890,110037960,158,6,0,0,0,0.963,1.000,0.963,STRIP1
chr1,+,111147641,111148053,125,6,0,0,0,0.954,1.000,0.954,CEPT1
chr1,+,111456085,111456249,710,4,0,0,0,0.994,1.000,0.994,ATP5F1
chr1,+,112674847,112675049,187,91,0,0,0,0.673,1.000,0.673,MOV10
chr1,-,113758658,113758733,20,7,0,0,0,0.741,1.000,0.741,PHTF1
chr1,+,114855440,114855572,27,5,0,0,0,0.844,1.000,0.844,SYCP1
chr1,-,119808702,119808863,88,6,0,0,0,0.936,1.000,0.936,REG4
chr1,-,146189299,146189381,51,4,0,0,0,0.927,1.000,0.927,"NOTCH2NL,RP11-458D21.5"
chr1,-,147224894,147225066,46,12,0,0,0,0.793,1.000,0.793,FMO5
chr1,-,149936153,149936229,42,8,0,0,0,0.840,1.000,0.840,MTMR11
chr1,+,150261458,150261638,43,4,0,0,0,0.915,1.000,0.915,CA14
chr1,+,150283461,150283633,8,6,0,0,0,0.571,1.000,0.571,CIART
chr1,+,150509530,150509581,562,4,0,0,0,0.993,1.000,0.993,ECM1
chr1,+,150509921,150510002,522,14,0,0,0,0.974,1.000,0.974,ECM1
